CustomerID,Lookalikes
C0001,"[('C0104', 0.3989), ('C0194', 0.3641), ('C0199', 0.3033)]"
C0002,"[('C0030', 0.3753), ('C0091', 0.3621), ('C0173', 0.3446)]"
C0003,"[('C0181', 0.4945), ('C0134', 0.445), ('C0144', 0.3894)]"
C0004,"[('C0070', 0.3328), ('C0175', 0.3039), ('C0025', 0.2698)]"
C0005,"[('C0096', 0.4464), ('C0023', 0.4305), ('C0055', 0.3403)]"
C0006,"[('C0040', 0.4468), ('C0178', 0.3473), ('C0171', 0.2937)]"
C0007,"[('C0079', 0.5816), ('C0118', 0.4336), ('C0020', 0.3837)]"
C0008,"[('C0144', 0.3518), ('C0169', 0.2655), ('C0091', 0.2482)]"
C0009,"[('C0060', 0.4262), ('C0162', 0.4044), ('C0014', 0.4035)]"
C0010,"[('C0094', 0.4776), ('C0092', 0.378), ('C0143', 0.3485)]"
C0011,"[('C0135', 0.4744), ('C0120', 0.3902), ('C0107', 0.318)]"
C0012,"[('C0164', 0.4568), ('C0158', 0.3936), ('C0173', 0.3393)]"
C0013,"[('C0169', 0.462), ('C0092', 0.343), ('C0099', 0.3321)]"
C0014,"[('C0128', 0.6224), ('C0159', 0.6041), ('C0060', 0.4307)]"
C0015,"[('C0073', 0.6422), ('C0036', 0.63), ('C0059', 0.4725)]"
C0016,"[('C0187', 0.5897), ('C0064', 0.4996), ('C0052', 0.4185)]"
C0017,"[('C0071', 0.4275), ('C0037', 0.3749), ('C0024', 0.339)]"
C0018,"[('C0177', 0.34), ('C0059', 0.3287), ('C0067', 0.302)]"
C0019,"[('C0064', 0.4287), ('C0024', 0.3505), ('C0084', 0.2823)]"
C0020,"[('C0026', 0.6506), ('C0058', 0.4533), ('C0104', 0.4015)]"
